incident_id,date,year,sector,subsector,country,region,attack_vector,action,malware_variant,records_affected,severity,source,source_link,notes
SAMP-0001,2021-03-15,2021,Finance,Banking,US,North America,Phishing,Credential Theft,,120000,High,Kaggle Sample,,Credential phishing campaign leading to unauthorized access
SAMP-0002,2022-07-04,2022,Healthcare,Hospital,IN,Asia,Ransomware,Data Encryption,LockBit,5000,Critical,Kaggle Sample,,Ransomware encrypted EHR systems
SAMP-0003,2020-11-22,2020,Education,University,GB,Europe,Web App,SQL Injection,,0,Medium,Kaggle Sample,,SQLi on legacy portal
SAMP-0004,2023-01-10,2023,Retail,E-commerce,US,North America,Malware,Trojan,,35000,High,Kaggle Sample,,POS malware suspected
SAMP-0005,2019-05-02,2019,Manufacturing,Industrial,DE,Europe,Supply Chain,Third-party Compromise,,0,High,Kaggle Sample,,Compromise via vendor
SAMP-0006,2024-02-18,2024,Government,Federal,IN,Asia,Brute Force,Password Spraying,,0,Medium,Kaggle Sample,,Office365 password spraying
SAMP-0007,2024-08-01,2024,Energy,Utilities,AE,Middle East,Misconfiguration,Open S3 Bucket,,20000,Medium,Kaggle Sample,,Cloud storage exposed
SAMP-0008,2023-09-30,2023,Education,K-12,US,North America,Insider,Data Exfiltration,,1000,Low,Kaggle Sample,,Unauthorized USB copy
SAMP-0009,2022-12-11,2022,Finance,Fintech,SG,Asia,Lost/Stolen,Device Theft,,800,Low,Kaggle Sample,,Stolen laptop
SAMP-0010,2021-06-07,2021,Technology,SaaS,US,North America,Other,Zero-day Exploit,,0,High,Kaggle Sample,,Zero-day used on auth service
